date,time,cpu,memory,read,write
2012/2/8,19:00:00,8,43,0,0
2012/2/8,19:10:00,0,20,0,0
2012/2/8,19:20:00,0,23,0,0
2012/2/8,19:30:00,0,19,0,0
2012/2/8,19:40:00,4,16,0,0
2012/2/8,19:50:00,0,16,0,0
2012/2/8,20:00:00,60,15,0,0
2012/2/8,20:10:00,0,14,0,0
2012/2/8,20:20:00,0,14,0,0
2012/2/8,20:30:00,0,14,0,0
2012/2/8,20:40:00,0,17,0,0
2012/2/8,20:50:00,0,15,0,0
2012/2/8,21:00:00,0,14,0,100
2012/2/8,21:10:00,0,12,0,0
2012/2/8,21:20:00,0,12,0,0
2012/2/8,21:30:00,0,12,0,0
2012/2/8,21:41:00,4,12,0,0
2012/2/8,21:51:00,0,12,0,0
2012/2/8,22:01:00,0,12,0,0
2012/2/8,22:11:00,0,14,0,0
2012/2/8,22:21:00,0,14,0,0
2012/2/8,22:31:00,0,14,0,0
2012/2/8,22:41:00,2,15,0,0
2012/2/8,22:51:00,0,15,0,0
2012/2/8,23:01:00,0,15,0,0
2012/2/8,23:11:00,0,15,0,0
2012/2/8,23:21:00,0,15,0,0
2012/2/8,23:31:00,0,15,0,0
2012/2/8,23:41:00,0,15,0,0
2012/2/8,23:51:00,0,15,0,0
2012/2/9,0:01:00,0,15,0,0
2012/2/9,0:11:00,0,15,0,0
2012/2/9,0:21:00,0,15,0,0
2012/2/9,0:31:00,0,15,0,0
2012/2/9,0:41:00,0,15,0,0
2012/2/9,0:51:00,0,15,0,0
2012/2/9,1:01:00,0,15,0,0
2012/2/9,1:11:00,0,42,0,0
2012/2/9,1:21:00,0,42,0,0
2012/2/9,1:31:00,0,42,0,0
2012/2/9,1:41:00,0,42,0,0
2012/2/9,1:51:00,85,31,0,0
2012/2/9,2:01:00,0,54,0,0
2012/2/9,2:11:00,0,54,0,0
2012/2/9,2:22:00,0,54,0,0
2012/2/9,2:32:00,0,54,0,0
2012/2/9,2:42:00,0,54,0,0
2012/2/9,2:52:00,0,54,0,0
2012/2/9,3:02:00,0,54,0,0
2012/2/9,3:12:00,0,54,0,0
2012/2/9,3:22:00,0,54,0,0
2012/2/9,3:32:00,0,54,0,0
2012/2/9,3:42:00,0,54,0,0
2012/2/9,3:52:00,0,54,0,0
2012/2/9,4:02:00,0,54,0,0
2012/2/9,4:12:00,0,54,0,0
2012/2/9,4:22:00,0,54,0,0
2012/2/9,4:32:00,0,54,0,0
2012/2/9,4:42:00,0,54,0,0
2012/2/9,4:52:00,0,54,0,0
2012/2/9,5:02:00,0,54,0,0
2012/2/9,5:12:00,0,54,0,0
2012/2/9,5:22:00,0,54,0,0
2012/2/9,5:32:00,0,54,0,0
2012/2/9,5:42:00,0,54,0,0
2012/2/9,5:52:00,0,54,0,0
2012/2/9,6:02:00,0,54,0,0
2012/2/9,6:12:00,0,54,0,0
2012/2/9,6:22:00,0,54,0,0
2012/2/9,6:32:00,0,54,0,0
2012/2/9,6:42:00,0,54,0,0
2012/2/9,6:52:00,0,54,0,0
2012/2/9,7:02:00,0,54,0,0
